Comentario Original,Ubicacion Encontrada
"The Cabo Adventure Whale Watching tour was AWESOME!!Our guide, Franco, was very knowledgeable about whales, the history of the area and landmarks, with a great attitude. Our Captain, Jose ""Muneco,"" was an excellent whale tracker, sea captain and nice guy, with good taste in music for the upbeat trip back to port. Jorge, our talented photographer, got the whales, people and scenery shots, with such perfect timing, that he was able to catch all the details that no one else would have managed to anticipate so precisely. It was much more than I expected, and a truly wonderful experience.",sea
"Cabo Adventures (Sunset Tour).Cabo Adventures IV Boat.Manual (Host),Ceasar (El Captain),Catalina (Photographer).Great food, Host, Captain, and Photographer.  You leave Cabos San Lucas Marina, and you go out to the tip of the Arch and you will see sea life and whales breaching in the area if your so lucky as well. Professional Pictures are taken throughout tour and you return to marina after sun set.Upon returning you have option to purchase your professionally taken photos. You recieve options to having selected photos printed and/or remaining sent to your phone via USB to your phone. The cost is under $100.00 U.S.Go with a group of friends. Most other couples may not be as animated as you.Have fun and enjoy.",sea
"For the dolphin experience, it was awesome. Sailing was pretty cool, too. But, they have larger boats. If you want to get up close with the seals and pelicans, you need to get on one of those tiny fishing boats. Overall, I did two things with them while I was in Cabo San Lucas, and I really enjoyed both.",sea
"We had a wonderful whale watching excursion with Cabo Adventures. They really went out of their way to make it a great experience. Jerry, our guid was knowledgeable, friendly and humorous.  Jerry took the time to share with me other locations to visit in Mexico. Our boat Captian, was also great. I also appreciated the companies respect for the environment and sea life.",sea
Bad fishing as we had lines in the water for 4 of the 5 hour trip and not 1 bite.  But we saw a dolphin pod and humpback whales and fed 2 sea lions,sea
"We did the Snorkel & Sea Adventure with guide Alex and photographer Jonathan and captain Danny (I think?) They were great and really nice and friendly, so easy going, spokeEnglish and Spanish amazingly well. They explained a lot about what to expect, safety protocols, and showed us El Arco, land's ends, Neptune's finger, Lover's beach and Divorce beach, and then took us (cruising at a pretty fast rate!) to Chilleno Bay, a beach where we could snorkel, kayak, and paddle board. Jonathan the photographer took pics the whole time that were available after the excursion for purchase. When we were finished and back at the marina, I was pleasantly surprised that ceviche and chips and drinks were made available to us. I was really impressed with our guide Alex and I'd definitely recommend this to anyone traveling to Cabo!","beach, sea, divorce beach, land's end"
"This should be the NUMBER ONE adventure company is Cabo on Trip Advisor! Our experience was above all expectations for the Sea of Cortes and the Outdoor Adventure. I surprised my wife with these two adventures and she has said over and over it was the best part of the trip. Even during COVID, the experience was unforgettable and there were less people than normal on the transportation and activities.Both crews were excellent Spanish and English speakers so all our questions were adequately answered and there were zero hidden fees from the website. Both crews were nice and got to know us and our names which were used throughout the whole day. Gear and equipment were high end and you can feel a strong importance for your safety. The food was great as well! The pick up from our hotel was right on time and they let us park for free at their marina l option when we were arriving but before check in. All in all I would do this again in a heartbeat and with the current 30% off discount, itâs so worth it!Shout out to Nico at the Outdoor Adventure for all the laughs.",sea
They brought us from our hotel to the marina and then told us our boat tour and jet skis are cancelled. Then made us wait for more than 30 mins to get us a ride back to our hotel. They were not sorry and I had to really force the.to get us back to the hotel so we don't waste our time at their establishment just to go back. Overall a terrible experience. I rather deal with vendors directly on the beach than these guys at Cabo adventure which is supposed to be a big company.,beach
"Absolutely loved this adventure. Our tour team and captain  were AWESOME (Danny was Capt. I forget the ladies names, but they were all exceptional). When we return we will definitely voyage with this company and request this crew again!! They translated everything in both spanish and english smoothy with total ease. They made sure the both sides of the boat saw all the different landmarks, and sea life comfortably. They had a great awareness of their guests needs and rose to the occasion of accomodations. Definitely go with Cabo Adventures if quality is key for your experiences.",sea
"Mario, Luiz and Jesus on the snorkel adventure were just amazing.   Would recommend this trip to anyone.  Seeing the whale just topped off the whole experience.  Snorkeling with the fish unbelievable and the colony of sealions incredible.",sea
"We had an absolute blast at this location with this company. Let me start by saying that we are certified scuba divers. We purchased a two-tank dive for $100. Since we have advanced diving certifications we received a private tour with our dive Master dive instructor Liz. She was fantastic. The photographer was pretty amazing as well. He is also a divemaster and dive instructor. We got to dive in the arches and through a canyon, covering both the Sea of Cortez and the Pacific Ocean all-in-one dive. If that wasn't enough, we had sea lions playing around us and then a whale shark circled us. Several times. It was absolutely amazing. And on the final part of the dive we had a wreck and we were able to look at. Truly the best dive ever. Not to mention puffer fish, trumpet fish, urchins, sea snake, octopus, and dozens of other types of fish. The photographer took pictures of all of this and it is a great memory for us. The second dive was quite nice. We saw a lot of the same items even though we dove in a different area.","sea, cortez"
"Arriba!! I'm writing this as I've taken delicious shots of tequila by our awesome, wonderful host and guide Pepe!! Today we took a fun, wonderful relaxing camel ride along the beaches and then pictures with the camels. The staff were kind, good ans informed us well. Pepe gave us great info. We had a delicious Mexican lunch! Best part was the tequila cheers and drinking. Muchoa Gracias Pepe. Much aloha from The Familia de Hawaii. ðºð¤ð½",beach
"Our experience with Cabo Adventures couldnât have been better! Our excursion to swim with Whale sharks was incredible and we would recommend it to anyone. Our tour guide, Michele and bus driver, Alfredo couldnât have made the day any more enjoyable than they already did. Micheleâs extroverted pepiness really gave the trip life (even in the wee hours of the morning it began). Alfredoâs incredible driving got us everywhere on time and his crazy parking skills canât be outdone.The day begins at the marina, meeting your tour guide and the rest of the group. Our group overall was relatively large, so we had a larger tour bus drive us up to La Paz. The drive is pretty long, but it gives you a little time to eat a snack and learn about the whale sharks as well as the various doâs and donâts.When you arrive youâre divvyâd into groups and assigned a boat guide, ours was Joe. This is the guide responsible for the seafaring portion of your adventure. From there you get your wet suit on and head out to your boat.In the boats you head out to the whale sharks. The boat guide and boat driver do an incredible job of spotting and maneuvering around the sharks within the reserve. Once spotted and in position, a group of 3-4 of you get ready and hop into the water. From there, your boat guide promptly arranges you and you begin swimming as fast as you can. The shark will quickly catch up with you, so do swim as fast as you can! You will only be capable of swimming alongside the shark for a minute or two before youâre either outrun or lose breath. Taking cameras and extra gadgets in the water can definitely affect your swimming speed. From there youâre picked up by the boat and given a second to catch your breath as the other group jumps into the water. From there your two groups trade on and off in the water until you run out of time or canât go in any longer. Your time with the sharks is somewhat short just because of their speed, so take in every moment as much as you can!Afterwards we were served some fish tacos for lunch and made some various stops on the journey back to Cabo San Lucas.The whole trip was unbelievably amazing, driven by the incredible crew that we had. This trip was undeniably worth the price and I would definitely do it again! A full day trip, weâll worth your time!",sea
"I went on the luxury yacht tour, and had Angel as our guide, and Jesus as the captain. Well worth the money. We had an amazing snack and lunch, drinks, and a professional photographer on board. Snorkeling and paddle boarding was a lot of fun. We saw fish, sea lions, and pelicans.",sea
"I had an amazing time with this whole little trip that I did with my family. We were a little bummed at the cruise ship and didn't mention that they're renovating their pool Splash Zone water slide area, but the company made up for it and made our trip very enjoyable. I'm actually looking forward to going back when they open up the water slide area because it looks really cool, and it's huge. Everybody was very professional and knowledgeable, especially when we went on the Exotic Animal tour. My daughter was super excited to pet the bunnies and see the monkey. Me and the wife decided to ride the RZR Polaris 900 CC utv Vehicles which went very fast and after we rode those we ended up getting on the ATVs and riding them all the way down to the beach on the beach sand where one of our tour guides named mykey with a y. It was very enjoyable getting to ride the camels that they have over there because I've never done that before in my life. I would highly recommend you go and check these guys out if you're on a cruise ship or looking for an Excursion in Los cabos. Their vans that pick you up are very clean and comfortable with air conditioning which takes you to their Resort.",beach
"Isha was great. Very informative, very hospitable, super cool and friendly. Camels were so so. 10 minute walk on beach but then again what do you expect. Food was so so, and tequila tasting was great only because of Isha but taste and quality was so so",beach
Adrian and his crew were great for our snorkeling and kayaking trip! Really great time seeing lovers beach and the arch too.,"beach, lovers"
"We did the Sunset Dinner Sailing excursion and thoroughly enjoyed it.  The sailboats in the outfitters fleet all looked newer and in top shape.  There were 16 of us onboard and we were not crowded in any way.  Seating was comfortable, food and drink was acceptable.  Our tour guides Pablo and Dany were personable and seemed well experienced.  I would definitely recommend taking a jacket along as it got chilly when the sun went down.  Blankets were provided and required.  We went with Cabo Adventures based partly on the fact that they provided transfers to and from our resort, and our concierge offered decent prices. Was a great experience and I would recommend.",sea
"What a wonderful tour! Camels on the beach, lunch and tequila tasting. Jorge was the best! We had so much funâ¤ï¸ definitely a must do!",beach
"Overall a poor experience we chose a Photo Whale Watching experience assuming the skipper would choose to get the boat as close as legally permitted with no other boats in the way on this he failed repeatedly, even when the whales appeared outside of the other boats close to use within 2 minutes we were at the back.The additional issue was the constant inane chatter from Karla the guide it never stopped throughout. We spent over 30 minutes of the tour getting out to open sea whilst some of this was due to harbour restrictions the vast majority was trying to show us amongst the other boats the arch and beaches which whilst pretty wasnât the point of the tour.Once at sea we did see whales but the majority of the time with the sun in our face making photographs all very prone to becoming silhouettes. No drinks were offered throughout the tour although supposedly included.To top it all off when we did have whales close by few other boats and positioned well for photos we were pulled away as we needed to listen to a hydrophone that heard nothing so a recording was played losing time with the whales we returned to the dock approx 20 mins earlier than had been suggested for the tour.","beach, sea"
"Best time ever!  First time whale watching and it was so exciting,  the whales were so close and not mention, the dolphins, seals, sea turtles.   Turned out to be a great day for seeing everything we hoped for.  The boat crew was awesome!!!",sea
Nice sea and snorkel adventure in cabo. Power snorkel could've been better/faster. Would've been nice to stop on the beachfronts at the arches for at least a few minutes.,"beach, sea"
"Very great, seamless and experience! The entire trip from hotel pickup to our day out snorkel was very easy and the service was very professional the entire time",sea
"Fantastic company. We went on two tours with them and had an amazing time in each (sunset sailing and Sea of Cortez). Everything was very well organized, staff was fun and friendly, facility was clean, equipment was well kept maintained. If you're looking to go on an adventure in Cabo, I highly recommend them. Would definitely use them again!","sea, cortez"
"This place is extremely committed to making sure you have a a great time doing some amazing stuff. We we're fortunate enough to have had two back-to-back activities with Cabo Advwntures.The first outing was Off-Road RZR trail zipping through dry riverbeds and finding awesome nature along the way. We saw wild goats, natural spring falls, migrating whales and desolate beaches. Totally exhilirating!  The food and drinks after were a perfectly prepared  sopes feast with aguas frescas all while being on a completely empty beach.Whale Shark swimming was our second experience. Unbelievable!  Alex, our tour guide and snorkel guide and photographer and general wealth of information around the flora, fauna, ecosystem and nature-loving community in BCS, made everyone feel at ease and helped those who were fearful or skeptical of going through with the adventure.Overall, Our guides make all the difference in making things go from great to life changing.  They were extremely knowledgeable, professional, and overall friends you want around you when you want to have a safe, fun time.I would rebooked these guys to anyone.",beach
Dylan and Miguel with Cabo Adventures took great care of us during our snorkeling adventure! Dylan provided great knowledge of the local history and geography of the area and captain Miguel kept us protected on the crazy waves! We did snorkeling and some kayaking. The fish were gorgeous! Watch out for some of the small jellyfishâ¦they do sting. Our tour guides gave us some vinegar and cream for the spots where we got stung and it reduced the pain significantly. Great trip overall minus my tid bit of seasickness. We got a yummy snack at the end as well! Highly recommend!,sea
"Great snorkel & sea adventure with Rich! Water toys, fun, fast boat, and quesadillas at the end. This is a real deal!",sea
We did the Sea of Cortez tour which was amazing and a great opportunity to swim up close to the Sea Lions. Our tour guides were Raz and Alex who were excellent and very knowledgeable of the area. The boat crew were also amazing.The only issue was the the tour group was quite large and there were a fair few children who struggled with the instructions to keep their distance from the sea lions colony causing our time in the water to be cut short.On the whole an amazing day and a five star rating for an excellent and professional tour and a great day in Mexico,"sea, cortez"
"Absolutely the best zip tour I've ever done, I need a couple more stars to give!!!I was a season's pass holder for two years at an adventure park, I try to zip and climb everywhere whenever I'm on vacation, and this was a phenomenal experience.Our guides (Joel, Mago, Arturo, Erid, Evaristo, Brandon, and Carlos) were quick, efficient, safe, and super fun from start to finish.  It was like hanging out with all the cool kids, and it felt like they were genuinely enjoying their jobs and they took amazing care of us all day.The upside down and Superman zips were glorious, and I loved the additional cable element, rock climbing wall, rappelling, and light bouldering that really made this tour stand out.The lunch was lovely, it's a gorgeous location, and they have a wonderful staff all the way across the board.  This is the only place where I've ever bought the photo package - the photographer was very professional and amazing at getting fantastic action shots and posed snaps for the memories.  No regrets!Thank you so much for an awesome day!!  When the shuttle came, I really just wanted to go back to the starting line and do it all again!",sea
"Highly recommend trying the Sea of Cortez adventure with Michelle and the other guides! Was simply breathtaking! Great service, great food, beautiful discovery of the Sea Lions and la Mar de Cortez. Thanks to the team for a great day! Yours truly- Montreal ðð»","sea, cortez"
"Did 3 tours, Dolphins Swim & Ride Experience,  Outdoor Adventure & Snorkel & Sea Adventure all three were great and staff very helpful and friendly.",sea
"The snorkeling excursion to the sea lion island was wonderful! I went with my boyfriend, 2 adult sons, and their spouses. Raz and crew were exceptional! Food was excellent, attention to safety was first and foremost. I've been traveling internationally for 20 years and this was one of my favorite excursions. I will do this again ð.",sea
"The price was reasonable for what you get. Transportation was included from our hotel 10 miles away both ways. The tour left on time and everyone was friendly. About 30 minutes before we saw anyting but sea lions and dolphins. Then we saw Whales non-stop until the end. Two hours were up and will appeared 20-foot off the bow to the starboard side, it approached the boat went under it and appeared on the other side. The trip would have been worth it if it had only been just that part.",sea
"unbelievable experiences.  we did the Dolphin Signature Swim, the Sea of  Cortes Snorkel trip and the Luxury Day Cruise.  each was truly fantastic.",sea
"These guys rock. Like seriously, they're amazing. I know there's a lot ofoptions for activities like this, but don't hesitate to book with them. My wife and I decided to book the Luxury Sailing, Snorkeling and Lunch Cruise during our October honeymoon vacation to Cabo. Our tour guides were professional, friendly and knowledgable. Their English was GREAT if that's something you're worried about! (Doesn't matter to me as both my wife and I are bilingual, and also realize we are in *their* country lol.) Not to mention, the guides were very funny and entertaining and helpful!There was an incident worth mentioning... My wife got extremely sea sick on the boat. Franco and Caesar made her a drink that helped, were extremely kind and very accommodating. Unfortunately she ended up throwing up, on the deck of the sailboat no less. They immediately cleaned the mess up and helped clean her up too. They were very understanding and sweet about the whole situation. Thank you, Franco and Caesar for taking such good care of us and for the fantastic tour! It was everything we could ask for and more. We are so excited to return.",sea
Loved the boat ride and all the sea life we saw.   Loved the snorkling.,sea
We had a wonderful time in Cabo adventure. We were doing the Electric Bike Beach Adventure and it is FANNNNNNTASSTIC! specially thank you to our tour guide Mr. SAUL he is the best tour guide. He is very knowledgeable and guided us in very simple and calm way. He also taught us how to make margarita and we enjoyed it. And we would like to thank YOSI for making sure our bike are in good condition and replacing batteries when required. Thank You again to the CABO ADVENTURE. Please convey the message to SAUL and YOSI for their hard work and dedication as a tour guide they really need to be recognized and appreciated._Samson,beach
"I went on the scuba adventure. My group showed up right before whale season and the guide said they'd see if we can get some peaks at whales but couldn't promise. Sure enough, we saw two humpacks breaching for about 5 minutes before we snorkeled. Great experience",sea
"Listen up! This is NOT luxury sailing.The food was very cheap  and  the liquor was not premium as advertised. If I would have known it would be so bad, I would have brought my own food and liquor. We could not even eat the lunch, I we just ate the fruits. The shrimp appetizers were  not bad.I also thought we were going to dock at a beach and be free to do other activities  other than paddle boat and snorkeling, like kayaking or rent jet skis. You are stuck on the boat for 4 hours with cheap liquor, no bottled water or canned drinks and bad lunch. But the scenery is beautiful, thank goodness!As for the boat, it was actually comfortable but please know it is not covered at all. The only covered part is where the sailor is seating, the part with the blue tent.Absolutely a waste of 4 hours and $700 for my family of 5.","beach, sea"
"We went on the Cabo Adventures whale shark snorkeling expedition yeaterday, and it was amazing! Our bus guide, Raz, and his team thought of everything including snacks, bottled water, clean bathroom stops, and they oversaw our delicious beach lunch. Raz was funny, warm, thoughtful and caring... he made sure our family had a wonderful experience, surpassing our expectations.Our boat guide, Luis, was terrific, especially for us snorkeling newbies. He and his captain were diligent and made sure our whale shark swim was successful and fun. It was the highlight of our family vacation.Cabo Adventures, as a whole, was professional and has given us many incredible family vacation memories, I highly recommend them!",beach
"It eas fun to see whale, dolphins and seals in their environment. But buy your pictures there. Im having a hard time getting then after we got home. Bummed",sea
"I did two adventures with this group. One was the sea of Cortez snorkeling and the other was the jet skis. I have to say these were the best adventures Iâve ever done. This company is so caring, they make sure youâre happy. Youâre able to connect with each employee. You also get to connect with the group youâre with & make friends. I will definitely be using this group again on my next adventures down there.","sea, cortez"
Very reputable company in Cabo.  The snorkel excursion out on the luxury boat included a continental breakfast along with a lunch.  The bartender served us in the seating area at the top of the boat and provided great service.  The whole crew was fabulous.,sea
"The most established and well-organised company in terms of trips in Cabo San Lucas from our experience. The 2 bay snorkel was a fantastic and memorable experience. We did not think we would get into the water to snorkel as we are not confident swimmers. But with the buoyancy aid around your waist, you just float. Lots of fish to see. The catamaran was a better choice to go out into the sea- options to lie in front, sitting area aft and another area on top around the captain. The crew ( guide, photographer and chef) were amazing. Open bar for a drink - we enjoyed one on the way back! An unforgettable experience. Do not hesitate, just book!",sea
"Good food and great service, beautiful seacoast...",sea
"We took a tour to the island of Espiritu Santo, which was wonderful. They picked us up from San Jose del Cabo and from the San Lucas dolphinarium. We all left together for La Paz (it's about a 2-hour drive), I recommend having breakfast before going because there are a lunch until 11:00 or so when you arrive at the catamaran they give you fruit, yogurt, bread and juice, the road is slow so you can enjoy the scenery and drinks. They go directly to the island of the sea lions where you swim for about 30 minutes with them, it's a very cool experience because they pass close to you and you can almost touch them. If you don't know how to swim very well, there are some guys who help my parents. the whole process (thank you), you can only swim with them in a certain season of the year, it seems to me that from September to February but I'm not sure, after that they give you the food which is very tasty, they are sandwiches, pasta and guacamole if they are good quantities, after lunch we stopped at another spot where we could swim and we spent a while there and then we returned to the port, I don't know if it was because of the time we went where the water was very cold that we spent more time in the tacamaran than in the water, for which I think it is a very good option if you want to do something relaxing, it is not tiring so older people can go the catamaran always goes at a very adequate speed, in general everything was more than perfect the attention was always appropriate, it is highly recommended to take this tour with them.",sea
The whale watching tour was exciting and fun. All participants had a great time searching for whales.,sea
"great beaches excellent customer service great food and hotels, they have jet skiing and boat rides at the Marina.",beach
"I would love to say that I had and amazing time on this tour but I didnât. I booked this excursion as a birthday surprise for my friend during our stay in Los Cabos. All in all it was beautiful in the beginning. The group was dry and boring so we tried talking and making jokes with the instructor with hopes of loosening everyone up, that barely worked. The drinks and the light snack with lunch was cool. We docked near a beach and my friend and I relaxed aboard while everyone else swam, snorkeled, or did the paddle boarding activity. As we are on our way back, the instructor âsurprisesâ us and says hey now weâre going sailing. Iâve never experienced sailing so I didnât know what to expect but I would have said no had they explained or prepared us for what was next.Soon enough the boat began to tilt HEAVILY. My friend and I are literally sliding off the side of the boat. I was honestly so scared to fall in. I had on a dress and it was super slippery. No railing on the side of the boat just us and the water. No life vests were provided. The couple in front of us knew what was coming so they moved all the way to the back before this activity began. Not one of the instructors warned us or mentioned to us to sit in the back if we were uncomfortable with the activity. Next thing you know the captain hits a gigantic wave and my friend and I are all soaking wet. At this point I honestly felt myself about to slide off the boat and into the water. I had on light make up, contacts so I could wear my sunglasses, and also had an eyelash set done before coming. I was extremely upset to have gotten splashed in my face like this with sea salt.A woman on the other side told the tour guide she could clearly see we were not enjoying this and maybe they should stop. The captain proceeded to continue sailing. It was overall a horrible experience.For everyone on the boat to have gotten in the water and we didnât, you would think ""hey maybe they didnât plan on getting wet today."" I feel it was horribly thought through. I would never in my life board a boat again, I am extremely traumatized.","beach, sea"
"We took two tours with Cabo Adventures in August of 2022. I wanna share both because I feel like they were a different experience.The luxury snorkeling tour was a bit of a miss for us. Was super excited to go on a sailboat for the first time, but they had the sails up for like 5 minutes only for photos. If I had known that I probably would have booked us the two bay catamaran because at least itâs more time snorkeling. Also, when we got there it was a free for all. The crew just gave us gear and thatâs it. No information on where to go to snorkel or a guide on the water. It seemed like it was ALLL about the photos. Listen, I get they have a job to do. But not everyone has $100 for a photo when I could take it on my phone. If I want one Iâll ask, but at the arch I asked someone to take a photo for us and the photographer said she needs the spot to take photos. Just pretty rude we already spend a lot for the tour I just wanted to take a photo for probably 10 seconds.The second tour we did, Sea of Cortez in La Paz was AMAZING. The crew (led the Diego who was incredible) made the day so fun. Breakfast and lunch were honestly a good portion, kept drinks flowing after the snorkel and really cared about us and the experience. They guided us into the reef and helped find octopus and other amazing marine life. They showed everyone how to use the gear and really went above and beyond to make everyone comfortable and have fun. This is the one Iâd say do not miss! Also they were as aggressive about us using our own phones and GoPro for photos or pressuring about buying them.All in all, the company was professional and has some great excursions I just wouldnât say the luxury snorkel is worth it in my opinion, unless it was the crew we had.","sea, cortez"
Sea Bass was great!  We had a great time and the snacks were great!,sea
"We did 2 excursions with Cabo Adventures during our time there. The first was the snorkeling trip with Richie and the second was the sunset cruise with Jesus and Edgar. If you donât like rough waters, we would caution you to go.The snorkeling trip was so much fun! We took a speedboat and Richie was sure to point out all of the sights and get photos of us. The snorkeling spot he took us to was breathtaking. The water is so clear and there are so many different colorful fish! He pointed out the different kinds, and he let us free dive when we had some time left. With the speed of the boat and the rough waters in Cabo, it was definitely choppy. Overall, Richie and the snorkeling trip were a lot of fun.The sunset cruise was also very nice and relaxing. Even on the sailboat though, the choppy waters were enough to cause the boat to move around a lot - if you get seasick easily we donât recommend it. Jesus and Edgar were funny and personable and they were sure to take lots of pictures of us. The food they serve on the trip isnât the best, but the drinks are great! The photos they take on their cameras are very expensive to buy, we recommend having someone take photos of you on your personal camera. It was a beautiful trip though!Our only complaint with Cabo Adventures is that all of the excursions are run out of the same place, and they donât really give you much information when you get there. They required us to get there an hour before our time slot in case of lines from people with other excursions. We got back from our snorkeling trip at 3:10pm to find out that the next shuttle bus didnât leave until 4pm. It definitely took up the whole day which was a bit of a bummer. We only chose them as they worked with our hotel and our hotel ran a promo to get the excursions at 25% the cost, otherwise we probably would have looked into other one off places.",sea
It was just OK. It was like a petting zoo. Not too adventurous. Camel rides only 20 mins and In a circle in the beach. Best part of the trip was the tequila tasting.,beach
"Very well organized, professional tour company in Cabo. Our tour guide Tomas as friendly and attentive. We loved seeing all the sights in Cabo and spending time on the boat. I think it I could go again I would perhaps not do the snorkel sail cruise. Loved the day, but there is not much to see when snorkeling. Also, be aware that you actually do sail on the sailing part of the cruise! We didnât think that one through and got a bit seasick lol. But thatâs on us! The sailing was cool. Loved the easy pick up & drop off as well.",sea
"We were pleasantly surprised to see multiple whales, dolphins and a giant sea turtle.",sea
"We had a fabulous half day snorkeling tour with Jacob, Ana, Jose and Joel. The crew will treat you like royalty! The we even saw whales along the way as well as a sea turtle. The whole process was seemless from picking up at my hotel to delivering me back safely. I highly recommend this company.",sea
"The instructor was informative and funny at the same time. My boyfriend and I are not licensed PADI divers so the practice in the pool was helpful as there was a lot of info to process. We paired up with a partner but at one point I began panicking and wanted to quit. Jorge pointed to his head letting me know I was overthinking things. He grabbed my hand and was pointing at the different fish, moray eels, the sea anemones that bloomed when he snapped. Soon my breathing calmed down as I was distracted by the beauty under water. If it wasnât for Jorge, I would have missed out on the full experience. This was so awesome!!",sea
Great experience riding ?? on the beach and driving atv threw the desert,beach
"Husband & I took the snorkel trip on a nice sunny day that started out with mimosas and anything else you desired to drink.  20 minutes later we enjoyed a delightful snack of shrimp, guacamole, salsa picante & chips.  We were taken to Santa Maria Beach for snorkeling and the others could play around in the  water with the paddle board for about half an hour.  While we were anchored we were served a full delicious lunch of 5 different items on our own platters.  They then took us further out to set the sails and watch for whales.  The whales did not disappoint!  The captain slowed us down so we could keep pace.  Mannie and Carmien were our guides who were knowledgeable and fun.  We highly recommend these 2 gentlemen on a job well done.","beach, santa maria"
Luxury tour in winter season you can see the whales,sea
"We went on the Luxury Sailing tour and I cannot express how much fun we had with Erick and Charly!  It was honestly the highlight of the trip.  The tour included snacks, open bar, lunch, paddle boarding, and snorkeling.  We loved having a photographer on board as well to capture all of the moments that we would not have thought to snap a picture of at the time.The pick-up from the hotel was seamless and the check in was fast and easy.  It was seriously such a great time that we considered signing up for another tour if there wasn't forecast for bad weather in the upcoming days.I can't recommend this enough! I will be telling everyone who is traveling to Cabo to take this tour!!",sea
"A dream place, if you don't know how to swim, like me, you will have to be very close to the beach, the waves are very strong ",beach
Had the best time with our great captain Jose!   He used his years of experience to make ours great!   Got to see everything from lovers beach to a baby whale playing!  Couldn't have been better!,"beach, lovers"
Isaac was great. Would have liked a little more beach riding...,beach
"Please read before you book ANYTHING with Cabo adventures.TLDR:  there are so many additional hidden fees that you end up paying so much more than the original paid ticket - Overall, I paid $175 (vs $104 listed ticket price online) for the âcomboâ ticket of eco farm, ATV and camel ride and it was absolutely NOT worth it. The company really tries to squeeze as much money out of the customer - to describe each step in more detail:1) Initial booking - price and additional hidden feesI saw the combo ticket online for $104 (at an advertised 30% discount). When I went to check out the total price ended up being about $120 with additional fees, taxes, etc. After I booked the ticket, I see in the email an additional $20 is required for âpark entrance feesâ. Iâm thinking that this must be a huge park where you can roam around if theyâre requiring another fee on top of the price of the ticket. This was not the case - the entrance fee does NOT get you anything else,  it really is just another way to get additional dollars after the initial payment. I get to the location and was told that I had to pay an additional $35 per person (if we each wanted our own vehicle to ride) for âATV insurance.â I thought this was a payment we would get back as long as there were no damages to the vehicle but thats not the case - itâs really just another way to get more money. These types of things should already be built into the initial price! So for each person, it was an additional $55 on top of the $120 I paid online which brings the grand total to $175 per person (vs the initial $104 sticker price - 70% higher!). Maybe I wouldnât have minded too much about the price if the excursion was actually worth it! Surprise surprise - itâs not.2) 1st activity - EcofarmThis is an absolute joke of an excursion. This is literally a 20 minute tour of their âecofarmâ which goes through how to make paper out of camel poop and how to make chocolate. No - we did not get to do any of that process or even see it in action- the tour guide literally spoke so fast and it was not interactive at all. Only pro - you get a small piece of chocolate at the end3) 2nd activity - camel ridingThis was a laughable excursion as well. I thought weâd be riding camels through various sceneries - no we literally got on the camels, walked along the beach, circled back and then dismounted. Whole riding time was 15 minute, 20 minutes MAX. What did we do after ? For the next 20 min, we sat in a gazebo area where we were told some random camel facts and took turns having the photographer take pictures of us with a camel and of course they didnât allow us to use our own cameras because they want to charge you later for the photos. More details on aggregious upsells later.3) 3rd activity - ATVThis was the most âworthâ activity. We spent about 30-40 minutes on the ATV and I enjoyed this activity (but definitely not $175 / person worth)4) They are constantly trying to sell you thingsAfter the ATV, a little less than 3 hours have passed. For the final hour, you were brought to the dining and photo area. You also werenât allowed to leave early unless you drove there yourself. So for an hour - they would sell you on photos (starting at $150 - $250 for a photo package) and on expensive food and alcohol. After about 45 minutes of waiting around in this dining area, we did the tequila tasting - you get to try 3 different types of tequila which I did enjoy.Overall, it was definitely not worth the money. Where does all the money go? It goes towards marketing - Cabo adventures advertisements are plastered everywhere in Cabo -  from my hotel lobby, to grocery stores, to multiple stands in the touristy areas.Word to the wise - these types of excursions are SIGNIFICANTLY cheaper if you negotiate with the tourist vendors at the beach / near the touristy areas. With the $175, I could have probably gotten 3-4 really solid excursions. I know for next time to definitely not go with Cabo adventures and just wait till I land to book these excursions.",beach
"Excellent staff. We saw more humpback whales on our beach / catamaran tour than we did in Alaska. We did pay for photos from the trip, only to find out back on the cruise ship that we got another couple's photos. Still trying to work out. Hopefully lol.",beach
"Me and two friends did the scuba and sea adventure. The staff were exceptional. Diego, Lucas and Roberto were great and knowledgable and went out of their way to find humpback whales! The only thing that would have made it better  is if pictutes were included like some tours do. They were attentive to making my friends comfortable since this was their first time snorkeling. Would recommend.",sea
"Excellent service, fresh food and an excellent sea route, unhurried and with the best attention.",sea
"Fantastic experience with Cabo Adventures on the Sea & Snorkel Tour. Richard was an excellent guide taking us to see Lover's Beach, Pelican Rock, a sea lion colony, the famous arch, and Land's End. Then we got to snorkel, kayak, and paddle board. Would highly recommend!","beach, sea, land's end"
It is a wonderful impressive experience the camels and the view of the sea if you can go do it the cost was 1340 while staying at the treasure a question of looking for prices the tour is short but it is worth the cost of the photos is 480 each,sea
We had a great experience and fun on the Sea of Cortez wildlife and snorkling adventure.  I would definitely recommend this trip. The food and staff were outstanding! We were up blose to sea lions and so many fish.,"sea, cortez"
"Our experience with them was great. We chose to go on the luxury sailing tour. We went on a 4-Hour tour down the Cabo coast. We ended up at a beautiful cove where we snorkeled and paddle boarded. Then we went further out to sea experiencing some open ocean. We got a wonderful snack and a wonderful lunch including alcoholic beverages.  Erick, Charlie, and Lily were all wonderful. Highly recommended",sea
"Cabo Adventures is the best, my family and I feel safe at all times, in fact it is our second vacation in Cabo and again with Cabo Adventures, in whale season you will not regret it!!!",sea
