id,Time,Comment,Time_owner,Comment_owner,Score
222,2 months ago,Mario at Cabo Adventures is an awesome guide for off roading in the Polaris ATVs!!Lots of fun! Prepare to get dusty and maybe a little wet!I’ve lost count how many times we have use Cabo Adventures for our excursions.Highly recommend!!,,,5
223,2 months ago,"This was one of the best experiences I have had! I would ask for Richard Noriega for your ATV guide, he did the most awesome job keeping us safe and maximizing our off road experience!! Hands down a must do while in Cabo!! 💯👍Also the staff from when we got picked up to those who took pictures, food and equipment were top notch! 👌",2 months ago,Thank you for taking the time to write about your experience at Cabo Adventures! It’s great to know that you had so much fun during our ATV Desert Adventure tour. Thanks for your kind comments regarding the service you received from our team members; Richard Noriega will be happy to know how much you enjoyed your experience with him.From all the Cabo Adventures team we thank you for sharing your experience with other Adventurers and look forward to next time!,5
224,3 months ago,"We went sailing with captain Caesar and it was amazing! We saw a ton of whales, were able to snorkel and saw a beautiful sunset",3 months ago,"We really appreciate your kind comments, the team will be happy to receive your feedback.From all the Cabo Adventures team we thank you for sharing your experience with other Adventurers!",5
225,5 months ago,Karla was absolutely awesome and we saw so many whales! Beautiful experience!,5 months ago,"On behalf of everyone at Cabo Adventures, we truly appreciate your kind words and look forward to next time!Warm regards",5
226,8 months ago,"Had a WONDERFUL time on the Cabo 8 boat on a 2 bay snorkeling tour on 10/20! The crew, the food (thanks Johnnie) and everyone on the ship was fabulous. We were also lucky enough to be able to see some humpback whales on the tour! Would highly recommend!",8 months ago,"We really appreciate your kind comments, the team will be happy to receive your feedback.From all the Cabo Adventures team we thank you for sharing your experience with other Adventurers!",5
227,a month ago,"We booked the Luxury Day Sailing! Great time on this excursion we booked while on a cruise! Pablo 2, Daniel, and Mariela were an amazing crew and made the whole experience enjoyable. Great food and drinks provided. Picture package was well worth it! Would do again 10/10!",a month ago,"We truly appreciate your review!It’s great to know you had such a wonderful experience with Cabo Adventures. On behalf of everyone in our team, thank you for your preference and see you soon!Sincerely,",5
228,a month ago,"Had a great time at Los Cabos.😁Amazing team Mario, Pablo, and Hralely. Keep up the great work. 👍🏻",,,5
229,3 weeks ago,"Bill and Jaime were amazing tour guides! Riding the camels was a blast and all the workers were very knowledgeable, friendly and passionate about what they do! Lunch was also very delicious with fun tequila tasting. Overall I very much recommend this place!",a week ago,"It�s great to know you had such a wonderful experience with Cabo Adventures. On behalf of everyone in our team, thank you for your preference and see you soon!

Sincerely,",5
230,2 months ago,"Awesome experience.  Super friendly, good food, great opportunity to see many different popular areas.",,,5
231,3 months ago,"Terrible!!!! Avoid using them at all costs. Take on of the free standing honest people in the marina instead of you want a cruise.We missed our pick up time at our hotel, we called the company and informed them we will meet them at the marina. We get to the marina 20 mins before departure time and we are told that they have departed without us because we did not show up. They did not give us a refund. We were there before the schedule departure time!What a scam.",,,1
232,a year ago,I went about a month ago (first week of December) on the whale shark tour and it was incredible! Michelle was so knowledgeable and fun and Joe was an excellent guide in the water taking pictures and helping us get near the whales. Our captain was also amazing! The fish tacos were delicious as well. I went on this solo and would recommend to other solo travelers - everyone was super fun and welcoming and you will make friends! Things to note : it is a long day (6 am until 7 pm) and pictures are $50 but they are great quality and it's nice to not worry about photos since your guide is taking them.,a year ago,"We truly appreciate your review!It’s great to know you had such a wonderful experience with Cabo Adventures. On behalf of everyone in our team, thank you for your preference and see you soon!Sincerely,",5
233,5 months ago,"I took the zipline adventure, booked through Norwegian Cruise Line, this week and could not recommend it more. The guides are incredibly helpful and know their equipment well. I felt comfortable the entire experience. The last zipline is so much fun, you can't miss it! Well worth the long drive from Cabo San Lucas. There was a delicious meal included with our package which had so much more than I expected out of an NCL excursion, you definitely weren't leaving hungry or thirsty.Jesus, Mago, Oscar, Arturo, Dioney and Ladis..... Te agradezco por el mejor experience y toda la ayuda con mi español!",5 months ago,"Thank you for your amazing review and comments, especially regarding the service you received from our team members.All of us at Cabo Adventures look forward to welcoming you back in the near future and creating more fun memories. ¡Hasta pronto!",5
234,11 months ago,"This company provides fun for the thrill seekers! The guides, photographers, and others you might meet along your journey are wonderful to be around! They are always smiling and super helpful. I will always choose this company over the others. Two trips to Cabo and 7 excursions using this company. They were ALL memorable! I can’t wait for my next trip to make more wonderful memories!   Thanks to Letti, Andi, Carla, Jose Luis, Captain Jerry, and Saul! We had the best time in Cabo this year!",11 months ago,"Thank you for your amazing review and comments, especially regarding the service you received from our team members.We can't wait to see you again and create more fun memories!Hasta Pronto!",5
235,3 months ago,"Two for one adventure, tour guide was fantastic informative, the tour was beautiful and we got a whale watching perk",,,5
236,3 months ago,"I had an amazing experience with Captain Bruno, First Mate Estephan and photographer Alexia on the Luxury Sailing and snorkeling excursion!!! 😊",,,5
237,a year ago,"We choose the 8 am January 14th whale photo safari.   We a great trip.  Choose the speed boat option as we wanted to see whales not party.  This is a 2 hour trip.  Our guide was great and very informative,  our captain knew exactly where to look.  We saw so many whales it was wonderful!  This crew is extremely professional and took are not to endanger the whales",a year ago,"It’s great to know you had such a wonderful experience with Cabo Adventures. On behalf of everyone in our team, thank you for your preference and see you soon!Sincerely,",5
238,2 months ago,"Our guides Brandon , Gus and David were amazing! Very clear instructions and always felt safe and secure. And they have a sense of humor ! I highly recommend zip-line and car at the end.",2 months ago,Thank you for taking the time to write about your experience at Cabo Adventures! We are delighted to read you enjoyed our Outdoor Adventure. Our team takes service very seriously and it is highly gratifying to read we achieved our ultimate goal of providing an exceptional experience for you! We will pass along your comments to our team members.We certainly hope to welcome you back in the near future.,5
239,2 months ago,"We did the boat ride to the arches and camel ride excursion combo.  Maxwell was an awesome guide and knew so much the history and geography of the marina, beaches, and history.  My wife and I spent the afternoon with Isaac and the camels.  Great time, great food�-Isaac was very knowledgeable, was enthusiastic about what he was doing.  He loves these animals!  Would recommend this tour, but bring water and snacks.",,,5
240,3 months ago,"This was an amazing experience! Damian and David were awesome tour guides! Absolutely loved them! Kept us all entertained and laughing throughout the whole experience. My group ended up doing camel riding, ATV riding and ended up eating an authentic Mexican meal with tequilas! If you thinking about it, just do it! I would come back just to do this again.",,,5
241,6 months ago,We booked whale watching on the luxury catamaran which included lunch and an open bar. Drinks were flowing and the lunch was perfect! Jacob was so informative and such a fantastic host! Thank you for the great times!,6 months ago,"Thank you for visiting us at Cabo Adventures!We are glad you loved our Luxury Whale Watching adventure and that the team service and performance was so fantastic! Jacob will be happy to know that his effort has been recognized. We look forward to welcoming you on a future adventure, during your next visit to Los Cabos.",5
242,4 months ago,Cedrick is as an amazing snorkel guide! All the people that were helping out were amazing and made for an EXCELLENT day!!!We even saw pods of whales breaching on our way to snorkel .,,,5
243,3 days ago,We did the camel and ATV combo tour. Isha was our tour guide for the camels and Emelio for the ATVs. We had a ton of fun and loved meeting Jefferson. The ATVs were fun and we felt safe the whole time. The food at the end was also good.,,,5
244,3 weeks ago,"What a rip off. Spent $700 for my family to swim with the dolphins, only to find out AFTER the fact they wanted almost $400 for a photo package, and they don’t sell singles. So basically $700 and no photos to enjoy… It’s a shame because the guy that was our guide for the swim was awesome.  Never again with this company.",2 weeks ago,"Thank you for taking the time to share your honest experience with us. We are glad to read this educational and interactive session with our dolphin and marine mammal specialist was a fun experience for you.Our prices are competitive with other internationally recognized, 5-star dolphinariums similar to our facilities. The money from the swims & photos covers for the care, maintenance, and enrichment for our dolphin family. Furthermore, the profit made from the pictures allows us to do research on marine mammals, provide educational programs for kids at our local schools, efforts related to rescue, rehabilitation, and release of marine animals in need, as well as further projects to support and inspire change to our local community.Thank you again for your time and visit. We hope to welcome you back in the near future.",1
245,3 months ago,The trip was almost perfect! Our cruise out to snorkeling and paddle boarding was a blast. Great food and great drinks! The sailing near the end was also a blast. Estavan and Danny were awesome!  The only negative part was as soon as we told the photographer we did not want to purchase photos. ($35 for one photo) she was very rude and wanted nothing to do with us anymore. That’s the only reason for four stars. The trip was amazing besides that. I would highly recommend.,,,4
246,5 months ago,"Had a wonderful experience here on the electric bike tour.  Great experience, food was great too.",5 months ago,"We really appreciate your kind comments, the teamwill be happy to receive your feedback.From all the Cabo Adventures team we thank you for sharing your experience with other Adventurers!",5
247,a month ago,"This was an amazing snorkeling trip. Our guide Eme was terrific, we were able to do two snorkeling sessions, seeing many beautiful fish. Lunch was delicious. Everyone had such a good time I would highly recommend you participate in this experience. It was excellent",,,5
248,a month ago,Great time. Emmy and crew were fantastic on the snorkeling excursion. Also Chino and Rolando at the ATV experience were out of this world. Chino was down right the best person I’ve ever met. The most fun i’ve ever had on a trip. Go see Chino!,,,5
249,4 months ago,"Jonathan, Jesus, Ladis, Brandon and Abraham were incredible!! Not your average zip line's. The pendulum and superman zip are not for the faint of heart. Great day it was!!!",4 months ago,"We truly appreciate your review!It’s great to know you had such a wonderful experience with Cabo Adventures. On behalf of everyone in our team, thank you for your preference and see you soon!Sincerely,",5
250,2 months ago,"Recently did the dolphin encounter with a group of 7, including 2 kids. The encounter experience was great and we enjoyed it. Then we were blindsided by the cost of the photos. Beware when you choose to do this that they do not let you take any photos or videos then they charge you HUNDREDS to get the photos/videos they took. I understand money goes towards the dolphins but at least make it reasonable and be UP FRONT with the pricing. You arent able to purchase a few, you MUST purchase the packages. The bare minimum package for our group was over $500! I almost cried because all the excitement from the encounter left my body in that moment.",,,3
251,a year ago,"Fantastic half day tour! Fun, educational and amazing/authentic lunch buffet! Approximately 25 minutes on the camel but fun interaction and picture time after. Isha and Fernando did an amazing job with our bilingual tour group. Thank you for a great experience in Cabo☺️",a year ago,"We really appreciate your kind comments, Isha and Fernando will be happy to receive your feedback.From all the Cabo Adventures team we thank you for sharing your experience with other Adventurers!",5
252,3 months ago,Loved the experience!  Camel ride was just the right amount of time. Bill was so much fun!  Enjoyed all the educational information.  Really nice addition.  Lunch was excellent.  Only downside for me was photos were too expensive - $40/photo 😞,,,5
253,4 weeks ago,We did a sunset sailing cruise of the arch.  There is a lot of boats out there so be patient to get a clear shot of the arch. Our guide Tito was super nice. They take professional photos and airdrop them for $70 which was not bad. Bring a sweater it gets cold when the sun goes down,,,5
254,2 years ago,"We did the sea of cortes tour and it was great. Though, it took 2hrs to get to the boat and back, it was definitely worth the trip. Brought us where the seals are with plenty of fish. I wish i had camera under water that works then i could have taken a lot of pics.",2 years ago,"Thanks for the awesome review,  Reytch ! We work hard to meet expectations like yours, and we’re happy to hear we hit the mark for you. Come back and see us soon.",5
255,4 months ago,"Very disappointing tour! Cabo Adventures check in staff was very friendly and attentive. But it all changed when we got onboard the sailboat with captain Erick. The tour was supposed to last 2 and a half hours, but captain Erick returned our sailboat to the Pier, after only 1 hour 45 minutes!! He offered to sail through Sea of Cortes, but ínstead he kept the boat in a still position for long periods of time. I thought the purpose of the tour was to sail!! During these long periods of nothing, my son wanted to film with his drone. Once again, captain Erick very rudely didn’t allow him to do so with no valid explanation. Suddenly my daughter saw whales nearby. We asked captain Erick if we could go a little closer to see them. He answered rudely that our tour was not a whale-watching tour, and that he would be late for our return. Late?? He cut off our tour 45 minutes earlier!!! The bright side of our experience, was that we did get to see other whales on our way back. This actually improved our overall experience. Finally it was very uncomfortable having Estéban (the other staff member) helping you get off the boat with one hand and holding a hat in his other hand while DEMANDING VERY RUDELY that he was expecting a tip!! (Which he of course didn’t receive at all). Is this a luxury sailing experience?? I seriously doubt it!!",,,2
256,a year ago,"Paola from Cabo Adventures truly provided me with a once in a lifetime experience... Not only have I never swam with dolphins before, but I have never even seen one in person prior to visiting Cabo San Lucas. After some tough convincing my fiance was able to persuade me to join her in swimming with these lovely dolphins. Why did it take persuasion you might ask? Because I'm deathly afraid of large animals, specifically anything that lives in water. But Paola was not only able to calm my nerves and teach me a lot about these beautiful animals, but she made me feel comfortable enough to the point where I decided to dive to the bottom of the pool holding on to one of these magnificent creatures!!If you decide to come here and are brave enough, make sure you go for the full experience!! It's worth every penny... As well afterwards, make sure you pick up the full package for photos and videos of your experience!! These are memories that my fiance and I will cherish for a lifetime and more. Highly recommend!!",a year ago,"Thank you for your amazing review and comments, especially regarding the service you received from our team members.We can't wait to see you again and create more fun memories!",5
257,a year ago,I took my daughter here for her birthday and we had the best experience.  Paola was our guide and she was so knowledgeable and taught us so much about dolphins and dolphin conservation.All of the staff were amazing from the moment we walked into the faculty we had someone walk us to check in.  The check in staff were friendly and upbeat.  Did not feel any pressure at all to purchase any other adventures.  After that we were sent over to another staff member who took us to our lockers.I can not wait to come back with my other family members.,a year ago,"Thank you for your amazing review and comments, especially regarding the service you received from our team members.We can't wait to see you again and create more fun memories!Hasta Pronto!",5
258,3 months ago,"This experience was not great. We did the “luxury sunset sailboat” cruise. First, we were told to check in 45 minutes before the experience started. We got there at 3:45, and it took maybe 30 seconds to check in. We waited around for almost an hour, they didn’t even call our group until 4:29 (tour started at 4:30). I have never heard of an excursion requiring you to show up so early just to sit around. Then, on the boat, they sailed for about 20 minutes and then we sat in the middle of the water for almost 2 hours hardly moving. Not really a “cruise”. For some reason, when the sun was setting, the ship didn’t move towards the ocean where the rest of the ships were. We were hundreds of yards away from the other ships, and our view was obstructed by the mountains. We didn’t fully get to see the sunset because we didn’t move away from the mountains like all of the other boats did. They played horrible music the whole time too. It was a very overrated experience- I’d recommend booking with a smaller company. The sunset was beautiful- but that had nothing to do with Cabo adventures. They also left to turn back around the second the sun had set. The sky turned beautiful colors after the sun went down and it was still very bright out, but for some reason we were rushed back to the dock. We ended up losing a total of 12 minutes because we left a few minutes late and came back early.",,,3
259,a year ago,"Fun filled day, enjoyed he camel riding but also a lot of history and cultural lessons.  Not only do you learn a lot about the camels but also the food and get to taste some!  Staff are all super friendly and accommodating.  Would definitely go back camel riding again!",a year ago,"Thank you for your amazing review and comments, especially regarding the service you received from our team members.We can't wait to see you again and create more fun memories!Hasta Pronto!",5
260,a year ago,"We visited Cabo in early May and booked 3 adventures with Cabo Adventures - Luxury Sailing, Camel Combo (Camels, ATV, & Eco Farm), and Dolphin Trainer for a Day

The Luxury Sailing Tour was great! The captain and crew were experts and knew exactly what they were doing. Saul was part of the crew and he was fantastic! I cannot remember the captain's name, but he was great, too. Rocsi, the photographer, was also nice. Please note, however, if you've never been sailing, the boat tips A LOT when the sails go up. I had never been sailing and didn't know what to expect. Thankfully, I was able to sit in the back of the boat during the sailing portion (which was only about 45 mins-1 hour of the whole 4 hour experience) because I was not particularly fond of the sailing. But overall it was still a great experience, and you receive a snack, lunch, and unlimited drinks.

The Camel Combo was awesome! Be aware this tour is about an hour away from Cabo, so factor in travel time if you make other plans for the day. You first tour the Eco Farm and learn about how they recycle plastics from all over, and also how they make chocolate. Isha was a great tour guide. Then you take a short ride on the camels on the beach. It was so much fun. We also go to take pictures with Jefferson the Camel. I can't remember our camel guides name, but he was younger and gave us so much great information about the camels! Finally, we got to ride on the ATVs. Our guides Bryan and Noriega were fantastic. We had an awesome time, and we also had a tequila tasting at the end. I forget our photographer's name (he was shorter and had curly hair), but he was fantastic! I would say he took the best photos from all of our experiences with Cabo Adventures.

The Dolphin Trainer for a Day Experience was THE BEST! It is WELL worth the money, and I recommend this dolphin experience over all the others. You definitely get more for your money doing the Dolphin Trainer for a Day. When we arrived we received a free t-shirt and hat before immediately going to learn about the dolphins. We learned how they are checked every morning to make sure they are healthy, have an appetite, and if they want to participate with people that day. If the dolphins don't want to participate, they aren't forced to. It is their choice each day if they want to interact with guests, and they are never punished. We toured the facility and learned how the dolphins were taken care of, what they eat, how the water is filtered, etc. We got to swim with the dolphins, help train one of the baby dolphins, and then learn commands and work with the dolphins one-on-one. Our trainer Paola was AMAZING and a great trainer. Lunch is also included in this package. The photo packages are SUPER expensive for this experience, however, they say the money goes back into caring for the dolphins. So be prepared to spend money on the photos if you want them. We bought them because it was a once-in-a-lifetime experience.

Overall, Cabo Adventures is great, and we will definitely book with them again if we're ever in Cabo again! We bought the photo packages at each experience and went in with the mindset of buying the photo packages, so we made sure to put aside extra money for that ahead of time. We did not feel hassled for tips like some other comments mentioned, but we did tip all of our guides, photographers, and transportation drivers because they all provided excellent service. I highly recommend Cabo Adventures for any of their experiences when you visit Cabo!",a year ago,Thank you for taking the time to write about your experience at Cabo Adventures! We are delighted to read you had a wonderful time with us. Our team takes service very seriously and it is highly gratifying to read we achieved our ultimate goal of providing an exceptional experience for you and your family.We certainly hope to welcome you back in the near future. Until next time!,5
261,3 months ago,"Our guide Kevin was fantastic! Very knowledgeable and friendly. The water was calm in the morning so the boat ride was very pleasant. Our small group was early and we had extra time on our tour, so they took us to see whales as an added bonus. Great customer experience! Highly recommend.",,,5
262,2 months ago,Richard Noriega the best tour guide in all of Cabo. Homeboy is super funny and informative. Makes adventures super fun,,,5
263,a year ago,"Great finish. Terrible start. ATV ADVENTURE.First off let me tell you we had a great time in the end. Most of all the staff were absolutely amazing and fun. Shout out to our ATV guides and photographers. Damian, Bicri, Rolando Rodriguez and Adrian. Super funny and caring.Food at the end was excellent. We enjoyed a tasty buffet and had a fun time tequila tasting with a nice view of the ocean.Photos were incredible. Even though they were pricey ($100 plus for over 30 electronic copies and one 5x7print) we bought them as this was a special memory/event for us and the pics were outstanding.Now for the downside.When we arrived to check in at the desk we were charged an additional $20 per person for the “entrance fee”. This we were told about when we bought the tickets through Discova at our hotel.  Then we were told we had to pay $30 plus per person for insurance. Seriously? LAME! You’re an hour away already at the place. What are you going to do? Leave?  No. Forced to pay. Cabo Advebtures should include ALL fee from the start in the overall price of the tour.THEN. After the hour long drive to the location and paying the additional fees we were forced to listen to an hour long “ECO TOUR” that no one (all 40 tourists in our group ) was expecting. First “talk” was About how they turned camel poo into paper. Then they passed the paper around for us to touch. GROSS. PASS. After that we had a sweet but boring explanation about how cacao is used to make chocolate.  WE WOULD HAVE PREFERRED to NOT waste that precious hour of vacation and get on to the activity we paid for.Honesty is the best policy. And letting us know that the 3 hour tour included a one hour “presentation” about camel poo and chocolate would have been important to know.  Would have given them 5 stars if it weren’t for the extra charges and the presentation.",a year ago,"Dear Virginia Huffman,Thank you for taking the time to write about your experience with us, we appreciate your feedback. The information of the additional charges is made clear on all of our promotional material, as well as our website on the ""What you need to know before you book"" section on each adventure.We regret that you did not enjoy our educational and informative eco-workshops at Ecofarm, we work hard every day to offer interesting facts and share the actions we take as a company in favor of sustainability, conservation, and community support programs. For us it is a priority to encourage our guests to inspire action and share ideas to protect the planet.Feel free to contact us with any further questions or concerns at info@cabo-adventures.com",4
264,7 months ago,"10/10 recommend this excursion company if you are in Cabo! We had so much fun and it was definitely a bucket list type of experience! The tour guides are awesome..they are fun, they feed you, and provide transportation…We had an amazing time 🤗 We did the zipline and UTV excursion.",7 months ago,"Thank you for your amazing review and comments, especially regarding the service you received from our team members.All of us at Cabo Adventures look forward to welcoming you back in the near future and creating more fun memories. Hasta pronto!",5
265,2 months ago,"A fun experience for the entire family. Very friendly staff, and enjoyed the views!",,,5
266,4 months ago,"Just got back from Cabo for my birthday trip. We booked a snorkeling with whale sharks experience, but unfortunately it was cancelled due to sea conditions. Cabo Adventures was very accommodating letting us (a group of 4) choose a different activity and refunded the difference in price. We did the ATVs and camel ride with lunch and it was great! They even did a little tequila tasting with lunch. Everything was well organized and we still saw humpback whales from the shore during our camel ride. Hopefully we can try again another time for whale shark snorkeling. Would definitely book a tour with these guys again.",,,5
267,3 months ago,"Jerry knew so many whale facts! He was an amazing guide. We saw a lot of whales, even this late in the season. Many thanks to the wonderful crew (Vianet and Claude) and Captain Jorge for a great whale watching tour!",,,5
268,3 months ago,Cabo Adventures was such a fun experience. Bill with the camels was great as well as G for the ATVs. Photos turned out amazing. Overall I would definitely book again!!,,,5
269,4 weeks ago,"We did the sunset sail and although it was fine and nice to be on the water, it was too long and the food and drinks were just okay. Our host Jesus was great and the sunset was beautiful. Having done lots of sails before, this one was just okay (we never actually sailed.) I would probably check out a higher end one next time in Cabo.",,,3
270,2 months ago,Great sail!!!Staff was amazing.  They really interacted with the passengers well. Attaching pictures because I can't remember their names.,,,5
271,2 months ago,"We had a great time here! Max was our guide, and our dolphin's name was Jagale (or something like that!). The dolphins were super friendly and safe for the kids, and did some incredible tricks. Our kids even got to ride them. It was definitely a once-in-a-lifetime experience!",,,5
272,3 months ago,"We did the dolphin experience and the experience itself was fantastic.The scam side of this business came out fast though. You expect some of it with the touristy aspect, but they charged us $7/person to get picked up in their shuttle that the email implied was free. The shuttle took over an hour (way longer than if we had just drove) because it stopped at two other resorts before dropping us off. They also didn't inform us of the transportation cost until we got there and of course wouldn't let us do our experience unless we paid it. They're also pressuring you because if you argue with them too long they said we'd miss the time for our experience with no refund. Basically pay it or we'll screw you out of more money.Then the pictures for the experience were outrageous. We expected something along the lines of ""You get 10 pics of your choice for $100 dollars"" or something like that. They don't inform you of the price beforehand. Turns out it was $360 for all the photos digitally and that's the bare minimum. They claimed it was so expensive because there were 5 people in our group. You don't even get ripped for that much in the USA. Then when I asked to see the slideshow again to see if it was truly worth it the guy accused me of only wanting to see it again so I could secretly record it. That was the last straw so we walked away and he came after us saying, ""Actually I can do it for $290."" Still a total scam. The pictures were great, I'd want to have them, but not at that insane pricing.So in closing, the experience we purchased was great. The scamming of everything around it ruined the outing overall.---EDIT---After posting my review I scrolled one star reviews and found plenty of people complaining about the scam surprise pricing and if you look at Cabo Adventure's responses to all those reviews it's amazingly copy/paste. ""The money for those photos helps us provide better care for the dolphins."" Except, it's an extra, that is not part of the cost of seeing the dolphins. And priced so insane that I didn't see a single group that was around us by them either. So, they chose scam pricing structure, that is comparable to ""5-star experiences"" around them (Ha! to 5-star) but yet they made zero money off of it. If it was truly ""for the dolphins "" they'd price them so they'd sell. But instead they made $0 ""for the dolphins."" I'm pretty sure the $18/minute 20 minute experience finances the dolphins just fine and we can all see the $360 photos are nothing but a scam cash grab. I'm lowering my review to one star based on their canned self serving response.",3 months ago,"Thank you for taking the time to share your experience with us. We are glad to read this educational and interactive session with our dolphin and marine mammal specialist was a fun experience for you.It is important to mention that transportation is an optional service that we offer from most hotels in Los Cabos, should you not wish to take advantage of this service, all guests are welcome to make their own transportation arrangements covering their own cost. Transportation service is included for some activities, and for others like dolphin programs, it has an additional cost of $7 usd per person. You can find all details including program duration and what is included on each tour in all our promotional material, such as brochures, magazines as well as our website on the ""What you need to know before you book"" section on each adventure.Regarding the pictures, our prices are competitive with other internationally recognized, 5-star dolphinariums similar to our facilities. The money from the swims & photos covers for the care, maintenance, and enrichment for our dolphin family. Furthermore, the profit made from the pictures allows us to do research on marine mammals, and efforts related to rescue, rehabilitation, and release of marine animals in need.If there is anything else we can do for you, please contact us at customerservicephoto@cabo-adventures.com",1
273,a month ago,I did the luxury day of sailing. It was a really good experience. Erick was our captain and did a great job maneuvering the boat so we could see the whales. Sebastian was guide and did a great job at making sure we were comfortable and having a good time. Thank you for the experience.,a month ago,Thank you for taking the time to write such a wonderful review about Cabo Adventures.We are delighted to read you enjoyed your adventure and appreciate you mentioning our team members that made your experience more pleasurable.We are looking forward to welcoming you on many more trips!,5
274,9 months ago,Our family had a great time doing the Dolphin Signature Swim with Cabo Adventures in Los Cabos.  Dijon was our trainer and Gandalf was our dolphin.  They took great care of us and we had a blast!  They did an awesome job with the pics and videos so we will be able to look back and remember this experience for years to come!,9 months ago,"We really appreciate your kind comments, Dujon will be happy to receive your feedback.From all the Cabo Adventures team we thank you for sharing your experience with other Adventurers!",5
275,2 months ago,"Great experience!! Captain Pablo and Danny were professional, fun, and competent. Food was delish, drinks were good, and the tunes were on point. Highly recommend!",,,5
276,2 months ago,"Well organized wake watching by Cabo adventures. Great service from Jorge, Uianet, Eric, Jacob. Definitely a worthwhile excursion for us.",,,5
277,2 months ago,This was one of the best excursions I have ever been on! The captain and crew were truly personal yet highly professional with how they took care of us and went about their duties. The food and drink were exceptional and the music and sailing vessel were very much an unexpected pleasure. I would recommend this adventure to anyone!,,,5
278,a month ago,"Our ATV tour was THE BEST!! Mario was the best guide, and we had the most fun going through the mountains in the desert. The food afterwards was amazing and the tequila tasting was so much fun. All of the staff is incredible and we will definitely be returning.",,,5
279,3 months ago,Richard was the best tour guide I’ve ever had. He was so much fun and made the vibes amazing. I literally wanted him to come back to party with us. Richard for President.,,,5
280,a week ago,Great experience highly recommended or Tour. guide. Michael great knowledge must come and try a lifetime experience.,,,5
281,3 months ago,Wow! What fun! We booked the E-Bike Tour and were pleasantly surprised how great it was and the staff biking with us kept us on track and were very helpful …plus the photographer that would pop out and take photos and a drone video of all the bikers going along the beach!!! Which u can purchase after the ride…to top it off they served us a Mexican lunch and taught us  how to make the best margaritas 👍We enjoyed ourselves and would highly recommend Cabo Adventures for any of their events!!! Top notch!!! Next time we are riding the Camels on the beach ….Thank you Saul and staff for such a memorable adventure…see u next time when we come back to Cabo👍👍♥️♥️ Vic n Jill from Canada🇨🇦,,,5
282,a year ago,We did the Cabo Adventure Luxury Day Sailing. The tour takes you by the famous Arch of Cabo and a nice day of sailing along the coast and stopping at the Santa Maria Bay to get off and enjoy the water. The tour was fantastic.,a year ago,"We truly appreciate your review!It’s great to know you had such a wonderful experience with Cabo Adventures. On behalf of everyone in our team, thank you for your preference and see you soon!Sincerely,",5
283,3 months ago,"Excellent guide,  very friendly and customer focused. Glad bottom your and shopping were fun additions.",,,4
284,a year ago,"Excellent Sunset Sail tour! Loved it so much that I’m doing the morning sail tomorrow. Jesus/Zahid (guide), Bruno (captain) and Sarah (photographer) are top notch!!! You won’t regret this opportunity, book it and enjoy! It’s pretty much all couples, I went as the solo. Group, couple or single, you will love it!",,,5
285,3 months ago,"The whole experience was truly memorable -- swimming with the dolphins was just AMAZING! What really knocked our socks off, though, was their customer service: my wife left her wedding ring (of almost 20 years!) in a locker, and they took the time to find it and get it to our cruise security people literally 8 minutes before the last tender back. HUGE thank you to Daniel and the entire staff for going above and beyond -- you all show what caring about your customers really means, and we can't wait to visit you (and the dolphins) again!",,,5
286,a month ago,What a wonderful time! The camel ride and ATV rides were so much fun! Carla and Emilio were fantastic! And the food and tequila were very good as well! Highly recommend! They are very safety-conscious,,,5
287,6 months ago,"went on a whale shark tourwas a long time 12 hrs all in bia ride 2 hour each way a bit of waiting once in la pazThe one thing nobody told us is that there’s a lottery, forgetting to see the sharks also a certain amount of votes per day so there is a chance you might not even get to gowe got lucky and got Group to so it worked out for us, but there’s no mention of any of these conditions prior to the trip. The local guy there Mario was excellent and told us a lot about conservation and the sharks everything for us ran smoothly. Just be aware that there is a chance that things could go wrong on a long day like this.",5 months ago,"Thank you for taking the time to write about your experience with us, we welcome all comments since they help us learn and improve.As you may understand we can't control the nature and behaviour of animals as they are in their natural habitat but our expert crew will do their best so you can swim with them at least one time during your visit. During this season we have had sightings everyday in all our whale shark tours and all our guests have swum next to them.This beautiful animal is found in the ‘Threatened’ category, currently protected by Mexican laws and this activity takes place in a protected area, with wild animals. The authorities control the entrance and swimming times in the whale shark zone. There is downtime on the boat that cannot be avoided due to local regulations that protect the whale sharks, only 15 boats are allowed to operate in the sanctuary and only 5 people per group are allowed to be in the water at a time. Feel free to contact us with any further questions or concerns at info@cabo-adventures.com",4
288,3 months ago,"This was a wonderful experience. Everything was well organized from hotel pick up/drop off, checking in, the experience itself. Our instructor Gris was incredible. She was fun and funny and made sure everyone was included and having a great time. Our photographer Kaitlyn is so talented. We got some amazing photos taken by her! Much love to the Cabo Adventures Dolphin Experience team and Nakai our dolphin friend!",3 months ago,received from our team members.All of us at Cabo Adventures look forward to welcoming you back in the near future and creating more fun memories. Hasta pronto!,5
289,2 months ago,"we had a great experience riding camels with Karla and riding ATVs with Emiliano and Richard. everything was very organized and the staff was extremely helpful and courteous, especially Richard. the pictures and video they provided were beautiful. I would highly recommend this excursion!",,,5
290,3 months ago,We had a great time on our guided tour driving the UTV’s. Aline was our tour guide and I will say he made it fun! Afterwards we enjoyed some good food and tequila tasting. Great experience!,,,5
